drug,condition,side,age0to2,age13to18,age19to24,age25to34,age35to44,age45to54,age55to64,age65to74,age75,female,male,star1,star2,star3,star4,star5,mean,count,condition_raw,id,tl1,tl2,tl3,t10,t11,t12,t13,t14,t15,w10,w11,w12,w13,w14,w15,t20,t21,t22,t23,t24,t25,w20,w21,w22,w23,w24,w25,t30,t31,t32,t33,t34,t35,w30,w31,w32,w33,w34,w35
mirtazapine,Pain,"Dizziness , drowsiness,  lightheadedness , increased appetite,  weight  gain,  dry mouth , or  constipation  may occur.",0,8,36,114,127,181,176,53,26,425,296,162,100,115,155,189,3.151178918,710,"Disorder characterized by Stiff, Tender & Painful Muscles, Posttraumatic Stress Syndrome, Depression, Major Depressive Disorder, Tender & Painful Muscles, Other",87,weight,sleep,take,take,breath,min,depression,panicy,finding,0.031,0.026,0.024,0.023,0.022,0.022,time,drug,year,week,work,depression,0.04,0.035,0.029,0.029,0.028,0.023,,,,,,,,,,,,
keppra,Other,"Drowsiness,  dizziness , unusual tiredness, or  weakness  may occur.",11,31,56,143,144,165,106,39,26,506,215,91,50,130,169,281,3.692094313,802,"Additional Medication for Myoclonic Epilepsy, Additional Medication to Treat Partial Seizures, Osteoporosis, Simple Partial Seizures, Convulsive Seizures, Other",88,medication,seizure,side,hair,weight,reaction,eye,cause,loss,0.035,0.018,0.017,0.016,0.014,0.012,med,pain,epilepsy,doctor,leg,surgery,0.033,0.021,0.02,0.02,0.016,0.013,,,,,,,,,,,,
crestor,Other,No record,0,0,2,18,46,182,276,157,39,461,259,137,62,148,151,222,3.359722222,767,"High Cholesterol, Increased Triglycerides and Cholesterol, Combined High Blood Cholesterol and Triglyceride Level, Homozygous Inherited High Blood Cholesterol, Primary Prevention of Heart Attack, Heterozygous Inherited High Blood Cholesterol, Other",89,drug,crestor,muscle,liver,heart,neck,sensation,wonder,check,0.022,0.017,0.014,0.012,0.012,0.008,crestor,pain,muscle,effect,cholesterol,side,0.075,0.05,0.047,0.04,0.033,0.031,,,,,,,,,,,,
avelox,Infection,"Nausea ,  diarrhea ,  dizziness ,  lightheadedness ,  headache ,  weakness , or  trouble sleeping  may occur. Pain/redness/swelling at the injection site,  nausea ,  diarrhea ,  headache ,  weakness ,  dizziness ,  lightheadedness , or  trouble sleeping  may occur.",0,2,23,118,153,199,139,63,22,551,168,277,85,97,122,138,2.664812239,770,"Acute Bacterial Infection of the Sinuses, Pneumonia caused by Bacteria, Chronic Bronchitis caused by Haemophilus Parainfluenzae, Bacterial Infection with Chronic Bronchitis, Severe Sinusitis caused by Streptococcus Pneumoniae, Skin Infection, TB involving the Lungs, Other",90,side,avelox,day,day,infection,sinus,time,effect,drug,0.087,0.064,0.033,0.032,0.018,0.018,face,liver,result,website,bathroom,post,0.029,0.016,0.014,0.01,0.009,0.009,,,,,,,,,,,,
doxil,Other,"Body aches/pains,  headache ,  nausea ,  vomiting ,  constipation ,  diarrhea ,  stomach  upset, and loss of appetite may occur.",0,6,18,89,125,191,209,54,20,536,176,133,59,98,179,243,3.47752809,26,"Cancer of the Ovary, AIDS with Kaposi's Sarcoma, Breast Cancer that has Spread to Another Part of the Body, Multiple Myeloma",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opana,Pain,"Nausea ,  vomiting ,  headache ,  constipation ,  dry mouth , mild  itching ,  lightheadedness ,  dizziness , or drowsiness may occur.",1,0,19,78,154,278,138,37,3,417,291,107,54,135,190,222,3.516949153,754,"Pain, Chronic Pain, Labor Pain, Additional Local Anesthesia, Acute Pain Following an Operation, Other",92,pain,day,opana,control,year,people,pain,lot,patient,0.035,0.025,0.021,0.02,0.017,0.014,pain,medication,drug,day,life,time,0.171,0.035,0.03,0.029,0.025,0.019,,,,,,,,,,,,
norco,Pain,"Nausea ,  vomiting ,  constipation ,  lightheadedness ,  dizziness , or drowsiness may occur.",0,2,31,92,114,176,170,76,36,426,271,47,51,134,237,228,3.786226686,748,Pain,93,pain,day,medication,pain,surgery,medication,drug,year,work,0.183,0.03,0.028,0.028,0.026,0.024,disk,replacement,vicodin,brand,affect,tear,0.024,0.021,0.016,0.014,0.012,0.011,,,,,,,,,,,,
mobic,Pain,"Stomach  upset,  nausea ,  dizziness , or  diarrhea  may occur.",0,4,16,68,108,180,172,101,40,516,173,138,71,115,156,209,3.32946299,733,"Joint Damage causing Pain and Loss of Function, Joint Inflammatory Disease in Children and Young Adults, Rheumatoid Arthritis, Other",94,medication,pain,mobic,pain,day,drug,month,week,medication,0.188,0.069,0.048,0.033,0.033,0.02,year,knee,doctor,medication,work,time,0.055,0.054,0.04,0.038,0.028,0.024,,,,,,,,,,,,
celebrex,Pain,Stomach  upset or gas may occur.,0,3,12,43,56,174,220,131,49,458,230,87,70,123,158,250,3.601744186,745,"Joint Damage causing Pain and Loss of Function, Acute Pain Following an Operation, Rheumatoid Arthritis, Painful Periods, Pain, Joint Inflammatory Disease in Children and Young Adults, Other",95,celebrex,pain,taking,pain,day,celebrex,drug,year,medication,0.117,0.042,0.036,0.035,0.026,0.022,blood,replacement,cost,job,discomfort,cause,0.019,0.018,0.015,0.015,0.011,0.011,,,,,,,,,,,,
ciprofloxacin,Infection,"Nausea ,  diarrhea ,  dizziness ,  lightheadedness ,  headache , and  trouble sleeping  may occur.",0,9,66,104,106,144,142,95,21,513,174,182,62,138,128,177,3.081513828,763,"Middle Ear Infection Needing Tube Placed in Ear, Urinary Tract Infection caused by Citrobacter, Complicated Urinary Tract Infection caused by Klebsiella, Bacterial Urinary Tract Infection, Acute Bone Infection, Pink Eye from Bacterial Infection, Diverticulitis, Chronic Bronchitis caused by Moraxella Catarrhalis, Bladder Infection caused by E. Coli, Abscess Within the Abdomen, Infection Within the Abdomen, Infection of Bone, Bacterial Infection of Kidney due to E. Coli Organism, Other",96,pain,infection,cipro,skin,tongue,hand,body,face,prednisone,0.018,0.013,0.012,0.012,0.011,0.01,medicine,system,chest,damage,bit,reaction,0.021,0.018,0.018,0.018,0.016,0.016,,,,,,,,,,,,
ultram,Pain,"Nausea ,  vomiting ,  constipation ,  lightheadedness ,  dizziness , drowsiness, or  headache  may occur.",0,2,41,133,130,160,135,53,27,478,203,138,65,114,163,201,3.328928047,732,"Pain, Neuropathic Pain, Disorder characterized by Stiff, Tender & Painful Muscles, Other",97,medication,day,pain,seizure,result,level,depression,control,case,0.021,0.019,0.018,0.018,0.017,0.014,treatment,point,body,period,minute,person,0.023,0.02,0.019,0.019,0.016,0.015,,,,,,,,,,,,
losartan,High Blood Pressure,"Dizziness  or  lightheadedness  may occur as your body adjusts to the  medication . If any of these effects persist or worsen, tell your doctor or  pharmacist  promptly.",0,0,1,12,53,132,200,198,83,434,245,138,92,153,171,125,3.078055965,780,"High Blood Pressure, Kidney Disease from Diabetes, Severe Uncontrolled High Blood Pressure, Prevention of Recurrent Atrial Fibrillation, Stroke Prevention",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trileptal,Pain,"Dizziness , drowsiness, tiredness,  nausea / vomiting ,  stomach / abdominal pain ,  headache ,  trouble sleeping , or  constipation  may occur.",6,44,56,154,134,178,72,24,8,512,164,104,60,88,178,246,3.594674556,754,"Convulsive Seizures, Facial Nerve Pain, Simple Partial Seizures, Additional Medication to Treat Partial Seizures, Other",99,side,medication,trileptal,level,vision,leg,symptom,lithium,effect,0.021,0.021,0.02,0.017,0.016,0.015,seizure,effect,drug,medication,year,side,0.056,0.053,0.049,0.046,0.043,0.036,,,,,,,,,,,,
hydroxyzine,Anxious,"Drowsiness,  dizziness ,  blurred vision ,  dry mouth ,  constipation , or  headache  may occur.",1,14,52,84,106,134,133,101,46,496,175,101,67,115,147,241,3.536512668,666,"Anxious, Severe Itching, Inducing of a Relaxed Easy State, Nausea and Vomiting, Chronic Trouble Sleeping, Itching, Life Threatening Allergic Reaction, Additional Medications to Treat Pain, Inflammation of Skin caused by an Allergy, Hives, Other",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
